T_s,Z_max,Z_min,Z_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,Part_String,Y_Distance,Part1,Part2,Part3,Part4,Piston_Rod,Gear_Part,Gasket,Pulley
49.04,0.930034,0.888474,0.906349,0.895006,0.930034,0.912471,0.905298,0.911611,0.90636,0.911244,0.902518,0.899428,0.896972,0.908179,0.906427,0.912443,0.904728,0.905078,0.906525,0.905157,0.906075,0.899908,0.906387,0.904429,0.911849,0.916272,0.925026,0.915641,0.90176,0.915758,0.912926,0.888474,0.905586,0.903993,0.904783,0.897565,0.904433,0.907214,0.906409,0.920263,0.912955,0.904713,0.905495,0.899984,0.907963,0.904443,0.91413,0.89969,0.890493,0.895645,0.904708,0.911306,0.891998,0.90464,0.896384,0.906106,0.919975,0.913539,0.889604,0.90069,0.896307,0.899567,0.909052,0.901823,0.905996,0.904257,0.895386,0.897746,0.91976,0.908213,0.896214,0.908784,0.913129,0.899398,0.911658,0.913012,0.911436,0.921644,0.906416,0.899155,0.913261,0.912171,0.91294,0.899086,0.902024,0.900603,0.904885,0.923506,gear_part,0.0928853,0,0,0,0,0,0,0,0
49.05,0.929039,0.889495,0.90655,0.894901,0.904307,0.896009,0.900287,0.910361,0.929039,0.918697,0.910031,0.910304,0.895863,0.896943,0.897372,0.913417,0.90118,0.90794,0.913954,0.903382,0.898713,0.91082,0.91882,0.909008,0.903236,0.91364,0.906108,0.906705,0.906367,0.901084,0.91616,0.901238,0.905139,0.897967,0.912914,0.900709,0.902615,0.889495,0.911311,0.898359,0.901654,0.919937,0.907096,0.900004,0.912974,0.919785,0.918291,0.914072,0.912869,0.912902,0.906163,0.902205,0.912947,0.893436,0.920096,0.905199,0.895842,0.893057,0.908206,0.917411,0.912514,0.906347,0.899892,0.904047,0.90933,0.898357,0.90869,0.903182,0.914261,0.907368,0.90514,0.912582,0.897041,0.900471,0.917571,0.914747,0.903237,0.903936,0.910986,0.921828,0.910533,0.89867,0.907133,0.917488,0.899471,0.908721,0.904613,0.893411,gear_part,0.0928853,0,0,0,0,0,0,0,0
49.06,0.929039,0.889495,0.90655,0.894901,0.904307,0.896009,0.900287,0.910361,0.929039,0.918697,0.910031,0.910304,0.895863,0.896943,0.897372,0.913417,0.90118,0.90794,0.913954,0.903382,0.898713,0.91082,0.91882,0.909008,0.903236,0.91364,0.906108,0.906705,0.906367,0.901084,0.91616,0.901238,0.905139,0.897967,0.912914,0.900709,0.902615,0.889495,0.911311,0.898359,0.901654,0.919937,0.907096,0.900004,0.912974,0.919785,0.918291,0.914072,0.912869,0.912902,0.906163,0.902205,0.912947,0.893436,0.920096,0.905199,0.895842,0.893057,0.908206,0.917411,0.912514,0.906347,0.899892,0.904047,0.90933,0.898357,0.90869,0.903182,0.914261,0.907368,0.90514,0.912582,0.897041,0.900471,0.917571,0.914747,0.903237,0.903936,0.910986,0.921828,0.910533,0.89867,0.907133,0.917488,0.899471,0.908721,0.904613,0.893411,gear_part,0.0928853,0,0,0,0,0,0,0,0
49.07,0.929039,0.889495,0.90655,0.894901,0.904307,0.896009,0.900287,0.910361,0.929039,0.918697,0.910031,0.910304,0.895863,0.896943,0.897372,0.913417,0.90118,0.90794,0.913954,0.903382,0.898713,0.91082,0.91882,0.909008,0.903236,0.91364,0.906108,0.906705,0.906367,0.901084,0.91616,0.901238,0.905139,0.897967,0.912914,0.900709,0.902615,0.889495,0.911311,0.898359,0.901654,0.919937,0.907096,0.900004,0.912974,0.919785,0.918291,0.914072,0.912869,0.912902,0.906163,0.902205,0.912947,0.893436,0.920096,0.905199,0.895842,0.893057,0.908206,0.917411,0.912514,0.906347,0.899892,0.904047,0.90933,0.898357,0.90869,0.903182,0.914261,0.907368,0.90514,0.912582,0.897041,0.900471,0.917571,0.914747,0.903237,0.903936,0.910986,0.921828,0.910533,0.89867,0.907133,0.917488,0.899471,0.908721,0.904613,0.893411,gear_part,0.0928853,0,0,0,0,0,0,0,0
49.08,0.930253,0.888156,0.905877,0.910822,0.905764,0.899781,0.897448,0.909635,0.900896,0.89404,0.915809,0.905329,0.901298,0.903589,0.927883,0.913426,0.924639,0.905037,0.930253,0.909513,0.908818,0.89586,0.913163,0.888289,0.893169,0.911118,0.919089,0.895416,0.902107,0.90723,0.902278,0.902944,0.893653,0.915941,0.893024,0.917657,0.90649,0.909347,0.895311,0.911682,0.903376,0.911048,0.896211,0.901185,0.889726,0.91352,0.910595,0.907545,0.893997,0.888156,0.889572,0.89962,0.901712,0.894406,0.896174,0.914978,0.893237,0.895147,0.911364,0.904928,0.91753,0.919389,0.909158,0.910676,0.904181,0.899446,0.902284,0.901516,0.920657,0.905518,0.903445,0.900212,0.889605,0.907547,0.907789,0.907052,0.91661,0.907526,0.904828,0.924921,0.918481,0.901999,0.906108,0.917966,0.89761,0.908498,0.899765,0.909396,gear_part,0.0928853,0,0,0,0,0,0,0,0
49.09,0.930253,0.888156,0.905877,0.910822,0.905764,0.899781,0.897448,0.909635,0.900896,0.89404,0.915809,0.905329,0.901298,0.903589,0.927883,0.913426,0.924639,0.905037,0.930253,0.909513,0.908818,0.89586,0.913163,0.888289,0.893169,0.911118,0.919089,0.895416,0.902107,0.90723,0.902278,0.902944,0.893653,0.915941,0.893024,0.917657,0.90649,0.909347,0.895311,0.911682,0.903376,0.911048,0.896211,0.901185,0.889726,0.91352,0.910595,0.907545,0.893997,0.888156,0.889572,0.89962,0.901712,0.894406,0.896174,0.914978,0.893237,0.895147,0.911364,0.904928,0.91753,0.919389,0.909158,0.910676,0.904181,0.899446,0.902284,0.901516,0.920657,0.905518,0.903445,0.900212,0.889605,0.907547,0.907789,0.907052,0.91661,0.907526,0.904828,0.924921,0.918481,0.901999,0.906108,0.917966,0.89761,0.908498,0.899765,0.909396,gear_part,0.0928853,0,0,0,0,0,0,0,0
49.105,0.92554,0.889885,0.904124,0.904639,0.908931,0.895611,0.899573,0.898651,0.892986,0.899085,0.897605,0.89725,0.914685,0.905242,0.918342,0.897376,0.916511,0.913345,0.920784,0.915626,0.889885,0.895772,0.907318,0.892089,0.90588,0.910415,0.904172,0.910595,0.917195,0.90021,0.89541,0.899115,0.895876,0.891356,0.892265,0.904566,0.898742,0.901865,0.908815,0.914734,0.895178,0.910513,0.903125,0.912163,0.905366,0.893423,0.89973,0.90455,0.914453,0.896298,0.909019,0.901158,0.913419,0.897088,0.900968,0.893324,0.904272,0.896494,0.899951,0.909497,0.908315,0.899482,0.893301,0.896928,0.891468,0.913351,0.909585,0.923763,0.903634,0.913984,0.901218,0.911405,0.918246,0.908386,0.897716,0.913191,0.916496,0.918645,0.916035,0.914114,0.890698,0.891499,0.900163,0.907961,0.895188,0.894613,0.92554,0.898051,gear_part,0.0928853,0,0,0,0,0,0,0,0
49.11,0.922637,0.888731,0.904332,0.896852,0.894343,0.909922,0.896408,0.908252,0.903676,0.922637,0.914459,0.905877,0.903088,0.903169,0.895642,0.912229,0.917726,0.894055,0.891312,0.917097,0.919404,0.903875,0.904276,0.909889,0.910374,0.89343,0.897496,0.900418,0.916891,0.902448,0.911575,0.904678,0.899434,0.897357,0.901047,0.909606,0.904859,0.894497,0.891775,0.901378,0.913238,0.909991,0.916428,0.901405,0.896009,0.897263,0.917134,0.909384,0.888731,0.890646,0.894396,0.895862,0.913314,0.904298,0.891164,0.915137,0.908054,0.921877,0.897399,0.911708,0.897835,0.903748,0.903157,0.902591,0.90613,0.902441,0.897853,0.894722,0.905951,0.913808,0.897375,0.904795,0.9124,0.902585,0.902211,0.89412,0.89529,0.901207,0.899152,0.905545,0.909622,0.912349,0.91238,0.90485,0.89726,0.902129,0.919565,0.902248,gear_part,0.107985,0,0,0,0,0,0,0,0
49.12,0.922637,0.888731,0.904332,0.896852,0.894343,0.909922,0.896408,0.908252,0.903676,0.922637,0.914459,0.905877,0.903088,0.903169,0.895642,0.912229,0.917726,0.894055,0.891312,0.917097,0.919404,0.903875,0.904276,0.909889,0.910374,0.89343,0.897496,0.900418,0.916891,0.902448,0.911575,0.904678,0.899434,0.897357,0.901047,0.909606,0.904859,0.894497,0.891775,0.901378,0.913238,0.909991,0.916428,0.901405,0.896009,0.897263,0.917134,0.909384,0.888731,0.890646,0.894396,0.895862,0.913314,0.904298,0.891164,0.915137,0.908054,0.921877,0.897399,0.911708,0.897835,0.903748,0.903157,0.902591,0.90613,0.902441,0.897853,0.894722,0.905951,0.913808,0.897375,0.904795,0.9124,0.902585,0.902211,0.89412,0.89529,0.901207,0.899152,0.905545,0.909622,0.912349,0.91238,0.90485,0.89726,0.902129,0.919565,0.902248,gear_part,0.107985,0,0,0,0,0,0,0,0
49.13,0.931902,0.88712,0.906061,0.902558,0.910789,0.916134,0.901155,0.910066,0.909453,0.914972,0.899882,0.898974,0.918847,0.913041,0.905883,0.906986,0.905877,0.897838,0.92066,0.8932,0.901252,0.896908,0.900433,0.902913,0.894526,0.907225,0.91059,0.908714,0.893074,0.895069,0.900118,0.902777,0.919381,0.904749,0.895354,0.902192,0.891398,0.901188,0.917888,0.895162,0.909876,0.908741,0.896358,0.894635,0.931902,0.906572,0.921705,0.927117,0.922856,0.921429,0.905736,0.91862,0.898616,0.901653,0.905634,0.901864,0.905826,0.91715,0.896397,0.896232,0.900965,0.908562,0.90681,0.910329,0.920984,0.918732,0.906933,0.899391,0.898772,0.907651,0.895437,0.921757,0.897649,0.88712,0.894429,0.905422,0.90754,0.900562,0.902713,0.893482,0.928698,0.911346,0.902615,0.906401,0.914972,0.900708,0.919971,0.904051,gear_part,0.107985,0,0,0,0,0,0,0,0
