T_s,Z_max,Z_min,Z_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,Part_String,Y_Distance,Part1,Part2,Part3,Part4,Piston_Rod,Gear_Part,Gasket,Pulley
176.715,0.926616,0.886335,0.90634,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,gear_part,0.0339996,0,0,0,0,0,0,0,0
176.725,0.926616,0.886335,0.90634,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,gear_part,0.0490996,0,0,0,0,0,0,0,0
176.735,0.929363,0.889809,0.905461,0,0,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,5.96046e-08,gear_part,0.0490996,0,0,0,0,0,0,0,0
176.745,0.932968,0.886556,0.905618,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,gear_part,0.0490996,0,0,0,0,0,0,0,0
176.755,0.932968,0.886556,0.905618,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,gear_part,0.0490996,0,0,0,0,0,0,0,0
176.765,0.92354,0.888099,0.905107,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,gear_part,0.0490996,0,0,0,0,0,0,0,0
176.775,0.92354,0.888099,0.905107,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,gear_part,0.0490996,0,0,0,0,0,0,0,0
176.785,0.92354,0.888099,0.905107,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,gear_part,0.0490996,0,0,0,0,0,0,0,0
176.8,0.931219,0.888047,0.905275,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,gear_part,0.0490996,0,0,0,0,0,0,0,0
176.805,0.931411,0.88758,0.905953,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,gear_part,0.0490996,0,0,0,0,0,0,0,0
176.815,0.931411,0.88758,0.905953,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,gear_part,0.0490996,0,0,0,0,0,0,0,0
